,precision,recall,f1-score,support
0,0.9960365635935157,0.9995103074313834,0.997770412056467,83726.0
1,0.0,0.0,0.0,74.0
2,0.9997970367363507,0.9987834549878345,0.9992899888426818,4932.0
3,0.9972222222222222,0.899749373433584,0.9459815546772069,399.0
4,0.999536536381894,0.985679463741621,0.9925596379535169,6564.0
5,0.967032967032967,0.9025641025641026,0.9336870026525199,195.0
6,0.9949748743718593,0.9209302325581395,0.9565217391304348,215.0
7,1.0,1.0,1.0,262.0
8,0.0,0.0,0.0,1.0
9,0.9904871720957048,0.9976771196283392,0.9940691450889628,3444.0
10,1.0,0.9152542372881356,0.9557522123893806,118.0
11,0.0,0.0,0.0,49.0
12,1.0,0.09523809523809523,0.17391304347826086,21.0
accuracy,0.99622,0.99622,0.99622,0.99622
macro avg,0.7650067209565011,0.6704143374516334,0.6884265181745717,100000.0
weighted avg,0.994987346473508,0.99622,0.995501580587466,100000.0
