,precision,recall,f1-score,support
0,0.9985688729874777,0.9986482725718602,0.9986085712013993,25153.0
1,0.6521739130434783,0.6521739130434783,0.6521739130434783,23.0
2,0.9993127147766323,0.9986263736263736,0.9989694263139814,1456.0
3,0.9732142857142857,0.9478260869565217,0.960352422907489,115.0
4,0.9968944099378882,0.9948347107438017,0.9958634953464323,1936.0
5,0.9014084507042254,0.9846153846153847,0.9411764705882353,65.0
6,0.9855072463768116,0.9714285714285714,0.9784172661870504,70.0
7,1.0,1.0,1.0,83.0
8,0.0,0.0,0.0,1.0
9,0.991362763915547,0.9932692307692308,0.9923150816522575,1040.0
10,0.925,0.925,0.925,40.0
11,0.7142857142857143,0.9090909090909091,0.8,11.0
12,0.75,0.42857142857142855,0.5454545454545454,7.0
accuracy,0.9973666666666666,0.9973666666666666,0.9973666666666666,0.9973666666666666
macro avg,0.8375175670570816,0.8310834524167354,0.8298716302072978,30000.0
weighted avg,0.997353695644572,0.9973666666666666,0.9973408225908289,30000.0
