,precision,recall,f1-score,support
0,0.9977372871263547,0.9992446229078042,0.9984903861433339,25153.0
1,0.8,0.5217391304347826,0.631578947368421,23.0
2,0.9993122420907841,0.9979395604395604,0.9986254295532646,1456.0
3,1.0,0.9478260869565217,0.9732142857142857,115.0
4,0.997920997920998,0.9917355371900827,0.9948186528497409,1936.0
5,0.9552238805970149,0.9846153846153847,0.9696969696969697,65.0
6,0.9852941176470589,0.9571428571428572,0.9710144927536232,70.0
7,1.0,1.0,1.0,83.0
8,0.0,0.0,0.0,1.0
9,0.9913294797687862,0.989423076923077,0.9903753609239654,1040.0
10,1.0,0.925,0.961038961038961,40.0
11,0.6923076923076923,0.8181818181818182,0.75,11.0
12,0.0,0.0,0.0,7.0
accuracy,0.9972333333333333,0.9972333333333333,0.9972333333333333,0.9972333333333333
macro avg,0.8014712074968222,0.7794498519070684,0.7876041143109666,30000.0
weighted avg,0.9969705947865818,0.9972333333333333,0.9970708476660695,30000.0
